Year,January,February,March,April,May,June,July,August,September,October,November,December
2000,58,60.8,63.1,75.2,84.8,91,95,92.4,90.2,72.5,56.9,57.3
2001,54.1,56.9,65.6,71.7,86.9,92,94.4,94.7,92.2,79.4,68.4,53.8
2002,55.9,61.3,65.2,76.6,81.7,93.4,96,95.1,89.8,75.1,66.9,55.2
2003,62,59.4,64.7,70.2,83.3,91.7,97.6,94.6,90.7,82.7,61.9,56.8
2004,57.5,55.8,72.3,72.7,83.4,91.2,94.5,92.7,88.1,75.1,61,56
2005,57.8,59.2,63.9,72.2,82.7,90.4,97.2,92.2,89.6,78.2,66.3,56.8
2006,57.7,61.8,62.3,72.7,84.7,94.6,96.5,92.5,85.6,76.1,67.1,54.3
2007,52.9,59.9,68.7,73.7,84.6,92.7,95.8,96.2,90.4,78.2,70,53.2
2008,54.7,58.2,66.6,74,78.5,93.2,94.9,92.9,89.9,77.9,67.1,55.8
2009,58.7,60.7,67.5,71.4,86.1,88.7,98.3,95.2,90,74.4,67.4,53.7
2010,57.4,59.1,62.7,70.6,78.2,91.2,96.7,94,91.5,77.7,63,59.6
2011,55.7,55.2,67.8,74.3,78.8,90.8,95.2,98.3,91.4,78.8,63.5,53.2
2012,58.7,60.3,65.9,75.1,84.5,93.8,93.9,95.3,88.7,78.8,68.4,56.7
2013,53.6,57.1,69.5,75.3,83.9,94.8,95.7,94.7,88.7,74.5,66.7,56.3
2014,59.9,64.4,69,74.8,83.1,93.2,96.5,91.6,89,80,66.1,57.7
2015,58.6,65.6,72.2,74.3,78.7,94,94.7,96.6,89.9,79.4,62.1,54.2
2016,55.7,65.7,69.5,73.5,79.9,94.8,97.1,91.9,86.6,81,67.2,57.9
2017,55.1,61.9,70.7,75.3,81.8,94.7,95,94,87.9,80.5,71.2,59.1
2018,61.2,59.8,66.8,77.4,83.5,92.4,96.5,94,91.9,73.8,63.8,55.7
2019,56,54.1,65.6,75.3,76.2,91.1,96.7,96.8,89.1,75.8,66.4,56.1
2020,56.8,58.9,64.4,74.2,86.2,92,98.9,99.1,91.5,80.9,67.8,55.8
2021,56.3,61,64.1,M,M,M,M,M,M,M,M,M
