"","zip","latitude","longitude","year","month","month_full","freq"
"1",85003,33.452,-112.075,2015,11,"November",67
"2",85003,33.452,-112.075,2015,12,"December",65
"3",85003,33.452,-112.075,2016,1,"January",60
"4",85003,33.452,-112.075,2016,2,"February",56
"5",85003,33.452,-112.075,2016,3,"March",41
"6",85003,33.452,-112.075,2016,4,"April",54
"7",85003,33.452,-112.075,2016,5,"May",36
"8",85003,33.452,-112.075,2016,6,"June",56
"9",85003,33.452,-112.075,2016,7,"July",59
"10",85003,33.452,-112.075,2016,8,"August",49
"11",85003,33.452,-112.075,2016,9,"September",66
"12",85003,33.452,-112.075,2016,10,"October",68
"13",85003,33.452,-112.075,2016,11,"November",52
"14",85003,33.452,-112.075,2016,12,"December",56
"15",85003,33.452,-112.075,2017,1,"January",62
"16",85003,33.452,-112.075,2017,2,"February",52
"17",85003,33.452,-112.075,2017,3,"March",71
"18",85003,33.452,-112.075,2017,4,"April",69
"19",85003,33.452,-112.075,2017,5,"May",63
"20",85003,33.452,-112.075,2017,6,"June",61
"21",85003,33.452,-112.075,2017,7,"July",68
"22",85003,33.452,-112.075,2017,8,"August",82
"23",85003,33.452,-112.075,2017,9,"September",65
"24",85003,33.452,-112.075,2017,10,"October",90
"25",85003,33.452,-112.075,2017,11,"November",71
"26",85003,33.452,-112.075,2017,12,"December",56
"27",85003,33.452,-112.075,2018,1,"January",71
"28",85003,33.452,-112.075,2018,2,"February",54
"29",85003,33.452,-112.075,2018,3,"March",67
"30",85003,33.452,-112.075,2018,4,"April",72
"31",85003,33.452,-112.075,2018,5,"May",94
"32",85003,33.452,-112.075,2018,6,"June",57
"33",85003,33.452,-112.075,2018,7,"July",71
"34",85003,33.452,-112.075,2018,8,"August",72
"35",85003,33.452,-112.075,2018,9,"September",68
"36",85003,33.452,-112.075,2018,10,"October",86
"37",85003,33.452,-112.075,2018,11,"November",74
"38",85003,33.452,-112.075,2018,12,"December",73
"39",85003,33.452,-112.075,2019,1,"January",77
"40",85003,33.452,-112.075,2019,2,"February",65
"41",85003,33.452,-112.075,2019,3,"March",70
"42",85003,33.452,-112.075,2019,4,"April",80
"43",85003,33.452,-112.075,2019,5,"May",89
"44",85003,33.452,-112.075,2019,6,"June",66
"45",85003,33.452,-112.075,2019,7,"July",72
"46",85003,33.452,-112.075,2019,8,"August",80
"47",85003,33.452,-112.075,2019,9,"September",78
"48",85003,33.452,-112.075,2019,10,"October",82
"49",85003,33.452,-112.075,2019,11,"November",67
"50",85003,33.452,-112.075,2019,12,"December",77
"51",85003,33.452,-112.075,2020,1,"January",68
"52",85003,33.452,-112.075,2020,2,"February",91
"53",85003,33.452,-112.075,2020,3,"March",71
"54",85003,33.452,-112.075,2020,4,"April",82
"55",85003,33.452,-112.075,2020,5,"May",84
"56",85003,33.452,-112.075,2020,6,"June",53
"57",85003,33.452,-112.075,2020,7,"July",56
"58",85003,33.452,-112.075,2020,8,"August",88
"59",85003,33.452,-112.075,2020,9,"September",61
"60",85003,33.452,-112.075,2020,10,"October",67
"61",85003,33.452,-112.075,2020,11,"November",50
"62",85003,33.452,-112.075,2020,12,"December",62
"63",85003,33.452,-112.075,2021,1,"January",62
"64",85003,33.452,-112.075,2021,2,"February",65
"65",85003,33.452,-112.075,2021,3,"March",58
"66",85004,33.451,-112.068,2015,11,"November",51
"67",85004,33.451,-112.068,2015,12,"December",50
"68",85004,33.451,-112.068,2016,1,"January",60
"69",85004,33.451,-112.068,2016,2,"February",50
"70",85004,33.451,-112.068,2016,3,"March",75
"71",85004,33.451,-112.068,2016,4,"April",61
"72",85004,33.451,-112.068,2016,5,"May",63
"73",85004,33.451,-112.068,2016,6,"June",74
"74",85004,33.451,-112.068,2016,7,"July",71
"75",85004,33.451,-112.068,2016,8,"August",88
"76",85004,33.451,-112.068,2016,9,"September",67
"77",85004,33.451,-112.068,2016,10,"October",64
"78",85004,33.451,-112.068,2016,11,"November",77
"79",85004,33.451,-112.068,2016,12,"December",71
"80",85004,33.451,-112.068,2017,1,"January",63
"81",85004,33.451,-112.068,2017,2,"February",82
"82",85004,33.451,-112.068,2017,3,"March",74
"83",85004,33.451,-112.068,2017,4,"April",75
"84",85004,33.451,-112.068,2017,5,"May",64
"85",85004,33.451,-112.068,2017,6,"June",75
"86",85004,33.451,-112.068,2017,7,"July",69
"87",85004,33.451,-112.068,2017,8,"August",56
"88",85004,33.451,-112.068,2017,9,"September",62
"89",85004,33.451,-112.068,2017,10,"October",68
"90",85004,33.451,-112.068,2017,11,"November",58
"91",85004,33.451,-112.068,2017,12,"December",75
"92",85004,33.451,-112.068,2018,1,"January",62
"93",85004,33.451,-112.068,2018,2,"February",67
"94",85004,33.451,-112.068,2018,3,"March",60
"95",85004,33.451,-112.068,2018,4,"April",61
"96",85004,33.451,-112.068,2018,5,"May",67
"97",85004,33.451,-112.068,2018,6,"June",68
